census_region,age_group,sex,education_5,income_bin,pop_count
East North Central Division,61+,Female,High school degree,25000-49999,576612
East North Central Division,61+,Female,High school degree,50000-99999,700056
East North Central Division,61+,Female,Less than high school degree,0-24999,159435
East North Central Division,61+,Female,Less than high school degree,100000-149999,55924
East North Central Division,61+,Female,Less than high school degree,150000+,44561
East North Central Division,61+,Female,Less than high school degree,25000-49999,126072
East North Central Division,61+,Female,Less than high school degree,50000-99999,131945
East North Central Division,61+,Female,Some college or Associate degree,0-24999,282843
East North Central Division,61+,Female,Some college or Associate degree,100000-149999,270650
East North Central Division,61+,Female,Some college or Associate degree,150000+,217886
East North Central Division,61+,Female,Some college or Associate degree,25000-49999,410767
East North Central Division,61+,Female,Some college or Associate degree,50000-99999,615204
East North Central Division,61+,Male,Bachelor degree,0-24999,62883
East North Central Division,61+,Male,Bachelor degree,100000-149999,183851
East North Central Division,61+,Male,Bachelor degree,150000+,250482
East North Central Division,61+,Male,Bachelor degree,25000-49999,99956
East North Central Division,61+,Male,Bachelor degree,50000-99999,271578
East North Central Division,61+,Male,Graduate degree,0-24999,30849
East North Central Division,61+,Male,Graduate degree,100000-149999,143102
East North Central Division,61+,Male,Graduate degree,150000+,267753
East North Central Division,61+,Male,Graduate degree,25000-49999,54321
East North Central Division,61+,Male,Graduate degree,50000-99999,167377
East North Central Division,61+,Male,High school degree,0-24999,238090
East North Central Division,61+,Male,High school degree,100000-149999,240825
East North Central Division,61+,Male,High school degree,150000+,159709
East North Central Division,61+,Male,High school degree,25000-49999,392018
East North Central Division,61+,Male,High school degree,50000-99999,640438
East North Central Division,61+,Male,Less than high school degree,0-24999,118263
East North Central Division,61+,Male,Less than high school degree,100000-149999,57406
East North Central Division,61+,Male,Less than high school degree,150000+,40486
East North Central Division,61+,Male,Less than high school degree,25000-49999,118829
East North Central Division,61+,Male,Less than high school degree,50000-99999,131797
East North Central Division,61+,Male,Some college or Associate degree,0-24999,157021
East North Central Division,61+,Male,Some college or Associate degree,100000-149999,264165
East North Central Division,61+,Male,Some college or Associate degree,150000+,198500
East North Central Division,61+,Male,Some college or Associate degree,25000-49999,267428
East North Central Division,61+,Male,Some college or Associate degree,50000-99999,529313
East South Central Division,18-29,Female,Bachelor degree,0-24999,23160
East South Central Division,18-29,Female,Bachelor degree,100000-149999,66711
East South Central Division,18-29,Female,Bachelor degree,150000+,49977
East South Central Division,18-29,Female,Bachelor degree,25000-49999,39909
East South Central Division,18-29,Female,Bachelor degree,50000-99999,98411
East South Central Division,18-29,Female,Graduate degree,0-24999,4500
East South Central Division,18-29,Female,Graduate degree,100000-149999,30218
East South Central Division,18-29,Female,Graduate degree,150000+,18032
East South Central Division,18-29,Female,Graduate degree,25000-49999,9536
East South Central Division,18-29,Female,Graduate degree,50000-99999,25818
East South Central Division,18-29,Female,High school degree,0-24999,73588
East South Central Division,18-29,Female,High school degree,100000-149999,70492
East South Central Division,18-29,Female,High school degree,150000+,58159
East South Central Division,18-29,Female,High school degree,25000-49999,89555
East South Central Division,18-29,Female,High school degree,50000-99999,143653
East South Central Division,18-29,Female,Less than high school degree,0-24999,19880
East South Central Division,18-29,Female,Less than high school degree,100000-149999,17582
East South Central Division,18-29,Female,Less than high school degree,150000+,16333
East South Central Division,18-29,Female,Less than high school degree,25000-49999,27430
East South Central Division,18-29,Female,Less than high school degree,50000-99999,33642
East South Central Division,18-29,Female,Some college or Associate degree,0-24999,67409
East South Central Division,18-29,Female,Some college or Associate degree,100000-149999,88499
East South Central Division,18-29,Female,Some college or Associate degree,150000+,73125
East South Central Division,18-29,Female,Some college or Associate degree,25000-49999,88435
East South Central Division,18-29,Female,Some college or Associate degree,50000-99999,155211
East South Central Division,18-29,Male,Bachelor degree,0-24999,18063
East South Central Division,18-29,Male,Bachelor degree,100000-149999,54573
East South Central Division,18-29,Male,Bachelor degree,150000+,43993
East South Central Division,18-29,Male,Bachelor degree,25000-49999,23552
East South Central Division,18-29,Male,Bachelor degree,50000-99999,71040
East South Central Division,18-29,Male,Graduate degree,0-24999,2298
East South Central Division,18-29,Male,Graduate degree,100000-149999,12630
East South Central Division,18-29,Male,Graduate degree,150000+,12020
East South Central Division,18-29,Male,Graduate degree,25000-49999,6054
