census_region,age_group,sex,education_5,income_bin,pop_count
New England Division,45-60,Female,Less than high school degree,0-24999,17722
New England Division,45-60,Female,Less than high school degree,100000-149999,19683
New England Division,45-60,Female,Less than high school degree,150000+,18421
New England Division,45-60,Female,Less than high school degree,25000-49999,16613
New England Division,45-60,Female,Less than high school degree,50000-99999,27178
New England Division,45-60,Female,Some college or Associate degree,0-24999,26508
New England Division,45-60,Female,Some college or Associate degree,100000-149999,82803
New England Division,45-60,Female,Some college or Associate degree,150000+,129033
New England Division,45-60,Female,Some college or Associate degree,25000-49999,34213
New England Division,45-60,Female,Some college or Associate degree,50000-99999,94278
New England Division,45-60,Male,Bachelor degree,0-24999,7790
New England Division,45-60,Male,Bachelor degree,100000-149999,51608
New England Division,45-60,Male,Bachelor degree,150000+,215725
New England Division,45-60,Male,Bachelor degree,25000-49999,14441
New England Division,45-60,Male,Bachelor degree,50000-99999,37847
New England Division,45-60,Male,Graduate degree,0-24999,4112
New England Division,45-60,Male,Graduate degree,100000-149999,34319
New England Division,45-60,Male,Graduate degree,150000+,211594
New England Division,45-60,Male,Graduate degree,25000-49999,5958
New England Division,45-60,Male,Graduate degree,50000-99999,17975
New England Division,45-60,Male,High school degree,0-24999,26119
New England Division,45-60,Male,High school degree,100000-149999,83678
New England Division,45-60,Male,High school degree,150000+,115563
New England Division,45-60,Male,High school degree,25000-49999,42468
New England Division,45-60,Male,High school degree,50000-99999,107161
New England Division,45-60,Male,Less than high school degree,0-24999,15713
New England Division,45-60,Male,Less than high school degree,100000-149999,26219
New England Division,45-60,Male,Less than high school degree,150000+,25166
New England Division,45-60,Male,Less than high school degree,25000-49999,16619
New England Division,45-60,Male,Less than high school degree,50000-99999,39489
New England Division,45-60,Male,Some college or Associate degree,0-24999,15775
New England Division,45-60,Male,Some college or Associate degree,100000-149999,80699
New England Division,45-60,Male,Some college or Associate degree,150000+,128655
New England Division,45-60,Male,Some college or Associate degree,25000-49999,23685
New England Division,45-60,Male,Some college or Associate degree,50000-99999,71449
New England Division,61+,Female,Bachelor degree,0-24999,32627
New England Division,61+,Female,Bachelor degree,100000-149999,79344
New England Division,61+,Female,Bachelor degree,150000+,133159
New England Division,61+,Female,Bachelor degree,25000-49999,50742
New England Division,61+,Female,Bachelor degree,50000-99999,113829
New England Division,61+,Female,Graduate degree,0-24999,21281
New England Division,61+,Female,Graduate degree,100000-149999,71516
New England Division,61+,Female,Graduate degree,150000+,142817
New England Division,61+,Female,Graduate degree,25000-49999,31383
New England Division,61+,Female,Graduate degree,50000-99999,87620
New England Division,61+,Female,High school degree,0-24999,112558
New England Division,61+,Female,High school degree,100000-149999,85629
New England Division,61+,Female,High school degree,150000+,84815
New England Division,61+,Female,High school degree,25000-49999,124791
New England Division,61+,Female,High school degree,50000-99999,169828
New England Division,61+,Female,Less than high school degree,0-24999,65505
New England Division,61+,Female,Less than high school degree,100000-149999,22741
New England Division,61+,Female,Less than high school degree,150000+,28427
New England Division,61+,Female,Less than high school degree,25000-49999,33482
New England Division,61+,Female,Less than high school degree,50000-99999,38994
New England Division,61+,Female,Some college or Associate degree,0-24999,81764
New England Division,61+,Female,Some college or Associate degree,100000-149999,97246
New England Division,61+,Female,Some college or Associate degree,150000+,106531
New England Division,61+,Female,Some college or Associate degree,25000-49999,106996
New England Division,61+,Female,Some college or Associate degree,50000-99999,156067
New England Division,61+,Male,Bachelor degree,0-24999,19479
New England Division,61+,Male,Bachelor degree,100000-149999,77715
New England Division,61+,Male,Bachelor degree,150000+,144297
New England Division,61+,Male,Bachelor degree,25000-49999,34039
New England Division,61+,Male,Bachelor degree,50000-99999,93480
New England Division,61+,Male,Graduate degree,0-24999,13866
New England Division,61+,Male,Graduate degree,100000-149999,69578
New England Division,61+,Male,Graduate degree,150000+,167811
New England Division,61+,Male,Graduate degree,25000-49999,22553
New England Division,61+,Male,Graduate degree,50000-99999,72484
New England Division,61+,Male,High school degree,0-24999,60352
New England Division,61+,Male,High school degree,100000-149999,87519
New England Division,61+,Male,High school degree,150000+,89419
New England Division,61+,Male,High school degree,25000-49999,88801
New England Division,61+,Male,High school degree,50000-99999,152681
New England Division,61+,Male,Less than high school degree,0-24999,38387
New England Division,61+,Male,Less than high school degree,100000-149999,19536
New England Division,61+,Male,Less than high school degree,150000+,21505
New England Division,61+,Male,Less than high school degree,25000-49999,37918
New England Division,61+,Male,Less than high school degree,50000-99999,45872
New England Division,61+,Male,Some college or Associate degree,0-24999,36705
New England Division,61+,Male,Some college or Associate degree,100000-149999,79885
New England Division,61+,Male,Some college or Associate degree,150000+,89468
New England Division,61+,Male,Some college or Associate degree,25000-49999,63542
New England Division,61+,Male,Some college or Associate degree,50000-99999,120202
Pacific Division,18-29,Female,Bachelor degree,0-24999,39001
Pacific Division,18-29,Female,Bachelor degree,100000-149999,200908
Pacific Division,18-29,Female,Bachelor degree,150000+,374834
Pacific Division,18-29,Female,Bachelor degree,25000-49999,69977
Pacific Division,18-29,Female,Bachelor degree,50000-99999,206569
Pacific Division,18-29,Female,Graduate degree,0-24999,9409
Pacific Division,18-29,Female,Graduate degree,100000-149999,52568
Pacific Division,18-29,Female,Graduate degree,150000+,123675
Pacific Division,18-29,Female,Graduate degree,25000-49999,12122
Pacific Division,18-29,Female,Graduate degree,50000-99999,48913
Pacific Division,18-29,Female,High school degree,0-24999,86111
Pacific Division,18-29,Female,High school degree,100000-149999,216666
Pacific Division,18-29,Female,High school degree,150000+,273689
Pacific Division,18-29,Female,High school degree,25000-49999,132840
Pacific Division,18-29,Female,High school degree,50000-99999,303436
Pacific Division,18-29,Female,Less than high school degree,0-24999,30493
Pacific Division,18-29,Female,Less than high school degree,100000-149999,52456
Pacific Division,18-29,Female,Less than high school degree,150000+,69361
Pacific Division,18-29,Female,Less than high school degree,25000-49999,44946
Pacific Division,18-29,Female,Less than high school degree,50000-99999,82260
Pacific Division,18-29,Female,Some college or Associate degree,0-24999,108004
Pacific Division,18-29,Female,Some college or Associate degree,100000-149999,285051
Pacific Division,18-29,Female,Some college or Associate degree,150000+,349056
Pacific Division,18-29,Female,Some college or Associate degree,25000-49999,171691
Pacific Division,18-29,Female,Some college or Associate degree,50000-99999,367830
Pacific Division,18-29,Male,Bachelor degree,0-24999,27807
Pacific Division,18-29,Male,Bachelor degree,100000-149999,150774
Pacific Division,18-29,Male,Bachelor degree,150000+,348792
Pacific Division,18-29,Male,Bachelor degree,25000-49999,46449
Pacific Division,18-29,Male,Bachelor degree,50000-99999,141001
Pacific Division,18-29,Male,Graduate degree,0-24999,6217
Pacific Division,18-29,Male,Graduate degree,100000-149999,30207
Pacific Division,18-29,Male,Graduate degree,150000+,91000
Pacific Division,18-29,Male,Graduate degree,25000-49999,11395
Pacific Division,18-29,Male,Graduate degree,50000-99999,29521
Pacific Division,18-29,Male,High school degree,0-24999,79028
Pacific Division,18-29,Male,High school degree,100000-149999,303125
Pacific Division,18-29,Male,High school degree,150000+,424600
Pacific Division,18-29,Male,High school degree,25000-49999,156780
Pacific Division,18-29,Male,High school degree,50000-99999,399072
Pacific Division,18-29,Male,Less than high school degree,0-24999,31067
Pacific Division,18-29,Male,Less than high school degree,100000-149999,84526
Pacific Division,18-29,Male,Less than high school degree,150000+,108637
Pacific Division,18-29,Male,Less than high school degree,25000-49999,63840
Pacific Division,18-29,Male,Less than high school degree,50000-99999,114262
Pacific Division,18-29,Male,Some college or Associate degree,0-24999,82566
Pacific Division,18-29,Male,Some college or Associate degree,100000-149999,275853
Pacific Division,18-29,Male,Some college or Associate degree,150000+,419954
Pacific Division,18-29,Male,Some college or Associate degree,25000-49999,140310
Pacific Division,18-29,Male,Some college or Associate degree,50000-99999,330496
Pacific Division,30-44,Female,Bachelor degree,0-24999,44188
Pacific Division,30-44,Female,Bachelor degree,100000-149999,328868
Pacific Division,30-44,Female,Bachelor degree,150000+,863324
Pacific Division,30-44,Female,Bachelor degree,25000-49999,76462
Pacific Division,30-44,Female,Bachelor degree,50000-99999,273641
Pacific Division,30-44,Female,Graduate degree,0-24999,22377
Pacific Division,30-44,Female,Graduate degree,100000-149999,181133
Pacific Division,30-44,Female,Graduate degree,150000+,744531
Pacific Division,30-44,Female,Graduate degree,25000-49999,30257
Pacific Division,30-44,Female,Graduate degree,50000-99999,131787
Pacific Division,30-44,Female,High school degree,0-24999,81429
Pacific Division,30-44,Female,High school degree,100000-149999,220412
Pacific Division,30-44,Female,High school degree,150000+,232163
Pacific Division,30-44,Female,High school degree,25000-49999,144986
Pacific Division,30-44,Female,High school degree,50000-99999,320522
Pacific Division,30-44,Female,Less than high school degree,0-24999,57423
Pacific Division,30-44,Female,Less than high school degree,100000-149999,83610
Pacific Division,30-44,Female,Less than high school degree,150000+,65659
Pacific Division,30-44,Female,Less than high school degree,25000-49999,110986
Pacific Division,30-44,Female,Less than high school degree,50000-99999,162214
Pacific Division,30-44,Female,Some college or Associate degree,0-24999,96807
Pacific Division,30-44,Female,Some college or Associate degree,100000-149999,362087
Pacific Division,30-44,Female,Some college or Associate degree,150000+,428811
Pacific Division,30-44,Female,Some college or Associate degree,25000-49999,168624
Pacific Division,30-44,Female,Some college or Associate degree,50000-99999,437207
Pacific Division,30-44,Male,Bachelor degree,0-24999,36799
Pacific Division,30-44,Male,Bachelor degree,100000-149999,286055
Pacific Division,30-44,Male,Bachelor degree,150000+,815175
Pacific Division,30-44,Male,Bachelor degree,25000-49999,61433
Pacific Division,30-44,Male,Bachelor degree,50000-99999,219673
Pacific Division,30-44,Male,Graduate degree,0-24999,15060
Pacific Division,30-44,Male,Graduate degree,100000-149999,130344
Pacific Division,30-44,Male,Graduate degree,150000+,626921
Pacific Division,30-44,Male,Graduate degree,25000-49999,19516
Pacific Division,30-44,Male,Graduate degree,50000-99999,88466
Pacific Division,30-44,Male,High school degree,0-24999,71626
Pacific Division,30-44,Male,High school degree,100000-149999,283160
Pacific Division,30-44,Male,High school degree,150000+,350867
Pacific Division,30-44,Male,High school degree,25000-49999,143683
Pacific Division,30-44,Male,High school degree,50000-99999,385063
Pacific Division,30-44,Male,Less than high school degree,0-24999,57335
Pacific Division,30-44,Male,Less than high school degree,100000-149999,116377
Pacific Division,30-44,Male,Less than high school degree,150000+,107882
Pacific Division,30-44,Male,Less than high school degree,25000-49999,109083
Pacific Division,30-44,Male,Less than high school degree,50000-99999,204243
Pacific Division,30-44,Male,Some college or Associate degree,0-24999,61909
Pacific Division,30-44,Male,Some college or Associate degree,100000-149999,377720
Pacific Division,30-44,Male,Some college or Associate degree,150000+,494019
Pacific Division,30-44,Male,Some college or Associate degree,25000-49999,124953
Pacific Division,30-44,Male,Some college or Associate degree,50000-99999,404329
Pacific Division,45-60,Female,Bachelor degree,0-24999,46035
Pacific Division,45-60,Female,Bachelor degree,100000-149999,224463
Pacific Division,45-60,Female,Bachelor degree,150000+,676379
Pacific Division,45-60,Female,Bachelor degree,25000-49999,54582
Pacific Division,45-60,Female,Bachelor degree,50000-99999,188489
Pacific Division,45-60,Female,Graduate degree,0-24999,22109
Pacific Division,45-60,Female,Graduate degree,100000-149999,138000
Pacific Division,45-60,Female,Graduate degree,150000+,579110
Pacific Division,45-60,Female,Graduate degree,25000-49999,26456
Pacific Division,45-60,Female,Graduate degree,50000-99999,87588
Pacific Division,45-60,Female,High school degree,0-24999,70908
Pacific Division,45-60,Female,High school degree,100000-149999,209937
Pacific Division,45-60,Female,High school degree,150000+,272697
Pacific Division,45-60,Female,High school degree,25000-49999,121335
Pacific Division,45-60,Female,High school degree,50000-99999,267099
Pacific Division,45-60,Female,Less than high school degree,0-24999,86678
Pacific Division,45-60,Female,Less than high school degree,100000-149999,158799
Pacific Division,45-60,Female,Less than high school degree,150000+,156340
Pacific Division,45-60,Female,Less than high school degree,25000-49999,133563
Pacific Division,45-60,Female,Less than high school degree,50000-99999,252162
Pacific Division,45-60,Female,Some college or Associate degree,0-24999,102258
Pacific Division,45-60,Female,Some college or Associate degree,100000-149999,296356
Pacific Division,45-60,Female,Some college or Associate degree,150000+,514744
Pacific Division,45-60,Female,Some college or Associate degree,25000-49999,137723
Pacific Division,45-60,Female,Some college or Associate degree,50000-99999,346843
Pacific Division,45-60,Male,Bachelor degree,0-24999,35193
Pacific Division,45-60,Male,Bachelor degree,100000-149999,174262
Pacific Division,45-60,Male,Bachelor degree,150000+,651171
Pacific Division,45-60,Male,Bachelor degree,25000-49999,49458
Pacific Division,45-60,Male,Bachelor degree,50000-99999,137171
Pacific Division,45-60,Male,Graduate degree,0-24999,16958
Pacific Division,45-60,Male,Graduate degree,100000-149999,102492
Pacific Division,45-60,Male,Graduate degree,150000+,553964
Pacific Division,45-60,Male,Graduate degree,25000-49999,18474
Pacific Division,45-60,Male,Graduate degree,50000-99999,60099
Pacific Division,45-60,Male,High school degree,0-24999,73452
Pacific Division,45-60,Male,High school degree,100000-149999,238675
Pacific Division,45-60,Male,High school degree,150000+,322059
Pacific Division,45-60,Male,High school degree,25000-49999,109854
Pacific Division,45-60,Male,High school degree,50000-99999,295447
Pacific Division,45-60,Male,Less than high school degree,0-24999,66754
Pacific Division,45-60,Male,Less than high school degree,100000-149999,172341
Pacific Division,45-60,Male,Less than high school degree,150000+,170547
Pacific Division,45-60,Male,Less than high school degree,25000-49999,128717
Pacific Division,45-60,Male,Less than high school degree,50000-99999,267054
Pacific Division,45-60,Male,Some college or Associate degree,0-24999,68425
Pacific Division,45-60,Male,Some college or Associate degree,100000-149999,283280
Pacific Division,45-60,Male,Some college or Associate degree,150000+,532500
Pacific Division,45-60,Male,Some college or Associate degree,25000-49999,93921
Pacific Division,45-60,Male,Some college or Associate degree,50000-99999,273329
Pacific Division,61+,Female,Bachelor degree,0-24999,103064
Pacific Division,61+,Female,Bachelor degree,100000-149999,229910
Pacific Division,61+,Female,Bachelor degree,150000+,416044
Pacific Division,61+,Female,Bachelor degree,25000-49999,129743
Pacific Division,61+,Female,Bachelor degree,50000-99999,289036
Pacific Division,61+,Female,Graduate degree,0-24999,54660
Pacific Division,61+,Female,Graduate degree,100000-149999,152373
Pacific Division,61+,Female,Graduate degree,150000+,331284
Pacific Division,61+,Female,Graduate degree,25000-49999,72568
Pacific Division,61+,Female,Graduate degree,50000-99999,178676
Pacific Division,61+,Female,High school degree,0-24999,225378
Pacific Division,61+,Female,High school degree,100000-149999,212017
Pacific Division,61+,Female,High school degree,150000+,252028
Pacific Division,61+,Female,High school degree,25000-49999,248480
Pacific Division,61+,Female,High school degree,50000-99999,388395
Pacific Division,61+,Female,Less than high school degree,0-24999,214125
Pacific Division,61+,Female,Less than high school degree,100000-149999,144532
Pacific Division,61+,Female,Less than high school degree,150000+,188062
Pacific Division,61+,Female,Less than high school degree,25000-49999,167410
Pacific Division,61+,Female,Less than high school degree,50000-99999,253027
Pacific Division,61+,Female,Some college or Associate degree,0-24999,258390
Pacific Division,61+,Female,Some college or Associate degree,100000-149999,323285
Pacific Division,61+,Female,Some college or Associate degree,150000+,411477
Pacific Division,61+,Female,Some college or Associate degree,25000-49999,335934
Pacific Division,61+,Female,Some college or Associate degree,50000-99999,552856
Pacific Division,61+,Male,Bachelor degree,0-24999,79793
Pacific Division,61+,Male,Bachelor degree,100000-149999,217262
Pacific Division,61+,Male,Bachelor degree,150000+,427679
Pacific Division,61+,Male,Bachelor degree,25000-49999,112921
Pacific Division,61+,Male,Bachelor degree,50000-99999,252282
Pacific Division,61+,Male,Graduate degree,0-24999,44061
Pacific Division,61+,Male,Graduate degree,100000-149999,164842
Pacific Division,61+,Male,Graduate degree,150000+,447245
Pacific Division,61+,Male,Graduate degree,25000-49999,61672
Pacific Division,61+,Male,Graduate degree,50000-99999,156472
Pacific Division,61+,Male,High school degree,0-24999,139850
Pacific Division,61+,Male,High school degree,100000-149999,185275
Pacific Division,61+,Male,High school degree,150000+,221109
Pacific Division,61+,Male,High school degree,25000-49999,180904
Pacific Division,61+,Male,High school degree,50000-99999,318853
Pacific Division,61+,Male,Less than high school degree,0-24999,138849
Pacific Division,61+,Male,Less than high school degree,100000-149999,124975
Pacific Division,61+,Male,Less than high school degree,150000+,144387
Pacific Division,61+,Male,Less than high school degree,25000-49999,138808
Pacific Division,61+,Male,Less than high school degree,50000-99999,212877
Pacific Division,61+,Male,Some college or Associate degree,0-24999,154931
Pacific Division,61+,Male,Some college or Associate degree,100000-149999,284480
Pacific Division,61+,Male,Some college or Associate degree,150000+,349228
Pacific Division,61+,Male,Some college or Associate degree,25000-49999,217108
Pacific Division,61+,Male,Some college or Associate degree,50000-99999,441018
South Atlantic Division,18-29,Female,Bachelor degree,0-24999,64703
South Atlantic Division,18-29,Female,Bachelor degree,100000-149999,254279
South Atlantic Division,18-29,Female,Bachelor degree,150000+,304658
South Atlantic Division,18-29,Female,Bachelor degree,25000-49999,121800
South Atlantic Division,18-29,Female,Bachelor degree,50000-99999,322934
South Atlantic Division,18-29,Female,Graduate degree,0-24999,15744
South Atlantic Division,18-29,Female,Graduate degree,100000-149999,84863
South Atlantic Division,18-29,Female,Graduate degree,150000+,106136
South Atlantic Division,18-29,Female,Graduate degree,25000-49999,23786
South Atlantic Division,18-29,Female,Graduate degree,50000-99999,82508
South Atlantic Division,18-29,Female,High school degree,0-24999,145480
South Atlantic Division,18-29,Female,High school degree,100000-149999,258838
South Atlantic Division,18-29,Female,High school degree,150000+,252682
South Atlantic Division,18-29,Female,High school degree,25000-49999,222770
South Atlantic Division,18-29,Female,High school degree,50000-99999,422763
South Atlantic Division,18-29,Female,Less than high school degree,0-24999,50666
South Atlantic Division,18-29,Female,Less than high school degree,100000-149999,69713
South Atlantic Division,18-29,Female,Less than high school degree,150000+,84076
South Atlantic Division,18-29,Female,Less than high school degree,25000-49999,70942
South Atlantic Division,18-29,Female,Less than high school degree,50000-99999,125138
South Atlantic Division,18-29,Female,Some college or Associate degree,0-24999,157575
South Atlantic Division,18-29,Female,Some college or Associate degree,100000-149999,284523
South Atlantic Division,18-29,Female,Some college or Associate degree,150000+,304350
South Atlantic Division,18-29,Female,Some college or Associate degree,25000-49999,237211
South Atlantic Division,18-29,Female,Some college or Associate degree,50000-99999,475190
South Atlantic Division,18-29,Male,Bachelor degree,0-24999,49756
South Atlantic Division,18-29,Male,Bachelor degree,100000-149999,197254
South Atlantic Division,18-29,Male,Bachelor degree,150000+,272481
South Atlantic Division,18-29,Male,Bachelor degree,25000-49999,63312
South Atlantic Division,18-29,Male,Bachelor degree,50000-99999,233244
South Atlantic Division,18-29,Male,Graduate degree,0-24999,8446
South Atlantic Division,18-29,Male,Graduate degree,100000-149999,48842
South Atlantic Division,18-29,Male,Graduate degree,150000+,63013
South Atlantic Division,18-29,Male,Graduate degree,25000-49999,15117
South Atlantic Division,18-29,Male,Graduate degree,50000-99999,45482
South Atlantic Division,18-29,Male,High school degree,0-24999,113597
South Atlantic Division,18-29,Male,High school degree,100000-149999,370913
South Atlantic Division,18-29,Male,High school degree,150000+,377168
South Atlantic Division,18-29,Male,High school degree,25000-49999,238689
South Atlantic Division,18-29,Male,High school degree,50000-99999,532122
South Atlantic Division,18-29,Male,Less than high school degree,0-24999,55651
South Atlantic Division,18-29,Male,Less than high school degree,100000-149999,107011
South Atlantic Division,18-29,Male,Less than high school degree,150000+,113312
South Atlantic Division,18-29,Male,Less than high school degree,25000-49999,89073
South Atlantic Division,18-29,Male,Less than high school degree,50000-99999,177810
South Atlantic Division,18-29,Male,Some college or Associate degree,0-24999,108016
South Atlantic Division,18-29,Male,Some college or Associate degree,100000-149999,276892
South Atlantic Division,18-29,Male,Some college or Associate degree,150000+,342822
South Atlantic Division,18-29,Male,Some college or Associate degree,25000-49999,184289
South Atlantic Division,18-29,Male,Some college or Associate degree,50000-99999,402642
South Atlantic Division,30-44,Female,Bachelor degree,0-24999,56291
South Atlantic Division,30-44,Female,Bachelor degree,100000-149999,440539
South Atlantic Division,30-44,Female,Bachelor degree,150000+,737867
South Atlantic Division,30-44,Female,Bachelor degree,25000-49999,134501
South Atlantic Division,30-44,Female,Bachelor degree,50000-99999,477746
South Atlantic Division,30-44,Female,Graduate degree,0-24999,30043
South Atlantic Division,30-44,Female,Graduate degree,100000-149999,311276
South Atlantic Division,30-44,Female,Graduate degree,150000+,747907
South Atlantic Division,30-44,Female,Graduate degree,25000-49999,49488
South Atlantic Division,30-44,Female,Graduate degree,50000-99999,259678
South Atlantic Division,30-44,Female,High school degree,0-24999,145707
South Atlantic Division,30-44,Female,High school degree,100000-149999,242860
South Atlantic Division,30-44,Female,High school degree,150000+,182223
South Atlantic Division,30-44,Female,High school degree,25000-49999,270795
South Atlantic Division,30-44,Female,High school degree,50000-99999,444536
South Atlantic Division,30-44,Female,Less than high school degree,0-24999,93110
South Atlantic Division,30-44,Female,Less than high school degree,100000-149999,68753
South Atlantic Division,30-44,Female,Less than high school degree,150000+,54957
South Atlantic Division,30-44,Female,Less than high school degree,25000-49999,106871
South Atlantic Division,30-44,Female,Less than high school degree,50000-99999,151728
South Atlantic Division,30-44,Female,Some college or Associate degree,0-24999,151385
South Atlantic Division,30-44,Female,Some college or Associate degree,100000-149999,432952
South Atlantic Division,30-44,Female,Some college or Associate degree,150000+,349842
South Atlantic Division,30-44,Female,Some college or Associate degree,25000-49999,314278
South Atlantic Division,30-44,Female,Some college or Associate degree,50000-99999,642312
South Atlantic Division,30-44,Male,Bachelor degree,0-24999,39507
South Atlantic Division,30-44,Male,Bachelor degree,100000-149999,387582
South Atlantic Division,30-44,Male,Bachelor degree,150000+,682737
South Atlantic Division,30-44,Male,Bachelor degree,25000-49999,84333
South Atlantic Division,30-44,Male,Bachelor degree,50000-99999,344876
South Atlantic Division,30-44,Male,Graduate degree,0-24999,18469
South Atlantic Division,30-44,Male,Graduate degree,100000-149999,205081
South Atlantic Division,30-44,Male,Graduate degree,150000+,562622
South Atlantic Division,30-44,Male,Graduate degree,25000-49999,32297
South Atlantic Division,30-44,Male,Graduate degree,50000-99999,154487
South Atlantic Division,30-44,Male,High school degree,0-24999,119248
South Atlantic Division,30-44,Male,High school degree,100000-149999,355393
South Atlantic Division,30-44,Male,High school degree,150000+,267521
South Atlantic Division,30-44,Male,High school degree,25000-49999,267352
South Atlantic Division,30-44,Male,High school degree,50000-99999,589404
South Atlantic Division,30-44,Male,Less than high school degree,0-24999,62864
South Atlantic Division,30-44,Male,Less than high school degree,100000-149999,97700
South Atlantic Division,30-44,Male,Less than high school degree,150000+,75726
South Atlantic Division,30-44,Male,Less than high school degree,25000-49999,131699
South Atlantic Division,30-44,Male,Less than high school degree,50000-99999,200287
South Atlantic Division,30-44,Male,Some college or Associate degree,0-24999,71993
South Atlantic Division,30-44,Male,Some college or Associate degree,100000-149999,433248
South Atlantic Division,30-44,Male,Some college or Associate degree,150000+,396816
South Atlantic Division,30-44,Male,Some college or Associate degree,25000-49999,177904
South Atlantic Division,30-44,Male,Some college or Associate degree,50000-99999,548687
South Atlantic Division,45-60,Female,Bachelor degree,0-24999,52599
South Atlantic Division,45-60,Female,Bachelor degree,100000-149999,334151
South Atlantic Division,45-60,Female,Bachelor degree,150000+,763746
South Atlantic Division,45-60,Female,Bachelor degree,25000-49999,105535
South Atlantic Division,45-60,Female,Bachelor degree,50000-99999,352392
South Atlantic Division,45-60,Female,Graduate degree,0-24999,28926
South Atlantic Division,45-60,Female,Graduate degree,100000-149999,241727
South Atlantic Division,45-60,Female,Graduate degree,150000+,718221
South Atlantic Division,45-60,Female,Graduate degree,25000-49999,53770
South Atlantic Division,45-60,Female,Graduate degree,50000-99999,219966
South Atlantic Division,45-60,Female,High school degree,0-24999,175851
South Atlantic Division,45-60,Female,High school degree,100000-149999,319858
South Atlantic Division,45-60,Female,High school degree,150000+,282623
South Atlantic Division,45-60,Female,High school degree,25000-49999,262702
South Atlantic Division,45-60,Female,High school degree,50000-99999,491238
South Atlantic Division,45-60,Female,Less than high school degree,0-24999,91351
South Atlantic Division,45-60,Female,Less than high school degree,100000-149999,91315
South Atlantic Division,45-60,Female,Less than high school degree,150000+,74057
South Atlantic Division,45-60,Female,Less than high school degree,25000-49999,110288
South Atlantic Division,45-60,Female,Less than high school degree,50000-99999,176444
South Atlantic Division,45-60,Female,Some college or Associate degree,0-24999,153578
South Atlantic Division,45-60,Female,Some college or Associate degree,100000-149999,440332
South Atlantic Division,45-60,Female,Some college or Associate degree,150000+,530728
South Atlantic Division,45-60,Female,Some college or Associate degree,25000-49999,268065
South Atlantic Division,45-60,Female,Some college or Associate degree,50000-99999,581434
South Atlantic Division,45-60,Male,Bachelor degree,0-24999,34945
South Atlantic Division,45-60,Male,Bachelor degree,100000-149999,277360
South Atlantic Division,45-60,Male,Bachelor degree,150000+,725454
South Atlantic Division,45-60,Male,Bachelor degree,25000-49999,76472
South Atlantic Division,45-60,Male,Bachelor degree,50000-99999,226919
South Atlantic Division,45-60,Male,Graduate degree,0-24999,19576
South Atlantic Division,45-60,Male,Graduate degree,100000-149999,150947
South Atlantic Division,45-60,Male,Graduate degree,150000+,665060
South Atlantic Division,45-60,Male,Graduate degree,25000-49999,31427
South Atlantic Division,45-60,Male,Graduate degree,50000-99999,122737
South Atlantic Division,45-60,Male,High school degree,0-24999,137331
South Atlantic Division,45-60,Male,High school degree,100000-149999,380335
South Atlantic Division,45-60,Male,High school degree,150000+,363919
South Atlantic Division,45-60,Male,High school degree,25000-49999,242633
South Atlantic Division,45-60,Male,High school degree,50000-99999,564139
South Atlantic Division,45-60,Male,Less than high school degree,0-24999,77798
South Atlantic Division,45-60,Male,Less than high school degree,100000-149999,121105
South Atlantic Division,45-60,Male,Less than high school degree,150000+,98134
South Atlantic Division,45-60,Male,Less than high school degree,25000-49999,114935
South Atlantic Division,45-60,Male,Less than high school degree,50000-99999,220548
South Atlantic Division,45-60,Male,Some college or Associate degree,0-24999,89651
South Atlantic Division,45-60,Male,Some college or Associate degree,100000-149999,391605
South Atlantic Division,45-60,Male,Some college or Associate degree,150000+,519117
South Atlantic Division,45-60,Male,Some college or Associate degree,25000-49999,157867
South Atlantic Division,45-60,Male,Some college or Associate degree,50000-99999,445208
South Atlantic Division,61+,Female,Bachelor degree,0-24999,142124
South Atlantic Division,61+,Female,Bachelor degree,100000-149999,314119
South Atlantic Division,61+,Female,Bachelor degree,150000+,464922
South Atlantic Division,61+,Female,Bachelor degree,25000-49999,232952
South Atlantic Division,61+,Female,Bachelor degree,50000-99999,470952
South Atlantic Division,61+,Female,Graduate degree,0-24999,87327
South Atlantic Division,61+,Female,Graduate degree,100000-149999,244127
South Atlantic Division,61+,Female,Graduate degree,150000+,408743
South Atlantic Division,61+,Female,Graduate degree,25000-49999,122737
South Atlantic Division,61+,Female,Graduate degree,50000-99999,327162
South Atlantic Division,61+,Female,High school degree,0-24999,547076
South Atlantic Division,61+,Female,High school degree,100000-149999,344451
South Atlantic Division,61+,Female,High school degree,150000+,307888
South Atlantic Division,61+,Female,High school degree,25000-49999,651622
South Atlantic Division,61+,Female,High school degree,50000-99999,819440
South Atlantic Division,61+,Female,Less than high school degree,0-24999,281240
South Atlantic Division,61+,Female,Less than high school degree,100000-149999,93283
South Atlantic Division,61+,Female,Less than high school degree,150000+,88694
South Atlantic Division,61+,Female,Less than high school degree,25000-49999,206260
South Atlantic Division,61+,Female,Less than high school degree,50000-99999,224287
South Atlantic Division,61+,Female,Some college or Associate degree,0-24999,420580
South Atlantic Division,61+,Female,Some college or Associate degree,100000-149999,409750
South Atlantic Division,61+,Female,Some college or Associate degree,150000+,406830
South Atlantic Division,61+,Female,Some college or Associate degree,25000-49999,541861
South Atlantic Division,61+,Female,Some college or Associate degree,50000-99999,862132
South Atlantic Division,61+,Male,Bachelor degree,0-24999,95242
South Atlantic Division,61+,Male,Bachelor degree,100000-149999,305929
South Atlantic Division,61+,Male,Bachelor degree,150000+,490185
