"Dataset: ACS 1-Year Estimates Public Use Microdata Sample (2024)"
"Weight: Housing Unit Weight (WGTP)"
"Universe:"
"Selected Geographies:"
"  East North Central Division"
"  East South Central Division"
"  Middle Atlantic Division"
"  Mountain Division"
"  New England Division"
"  Pacific Division"
"  South Atlantic Division"
"  West North Central Division"
"  West South Central Division"
"","","Income_Group (HINCP_RC1)","","","","",""
"Group","Educational attainment","Total Income_Group (HINCP_RC1)","0-24999","25000-49999","50000-99999","100000-149999","150000+"
" -> New England Division -> 45-60 -> Male","","1,419,827","69,509","103,171","273,921","276,523","696,703"
"","N/A (less than 3 years old)","0","0","0","0","0","0"
"","No schooling completed","27,950","3,813","4,959","8,523","4,772","5,883"
"","Nursery school, preschool","127","0","0","36","91","0"
"","Kindergarten","98","98","0","0","0","0"
"","Grade 1","524","0","176","0","241","107"
"","Grade 2","110","0","0","0","0","110"
"","Grade 3","1,709","0","316","588","753","52"
"","Grade 4","2,201","897","116","542","47","599"
"","Grade 5","1,679","97","245","197","580","560"
"","Grade 6","7,084","540","1,191","775","2,146","2,432"
"","Grade 7","3,562","168","612","1,708","808","266"
"","Grade 8","9,325","1,160","1,271","3,400","3,032","462"
"","Grade 9","10,047","1,737","1,202","3,650","1,880","1,578"
"","Grade 10","15,887","2,445","3,045","5,327","2,342","2,728"
"","Grade 11","14,360","3,252","830","4,492","2,512","3,274"
"","12th grade - no diploma","28,543","1,506","2,656","10,251","7,015","7,115"
"","Regular high school diploma","320,294","20,411","36,668","92,205","71,313","99,697"
"","GED or alternative credential","54,695","5,708","5,800","14,956","12,365","15,866"
"","Some college, but less than 1 year","79,996","4,693","5,618","18,168","21,383","30,134"
"","1 or more years of college credit, no degree","133,309","6,519","10,456","31,554","32,329","52,451"
"","Associate's degree","106,958","4,563","7,611","21,727","26,987","46,070"
"","Bachelor's degree","327,411","7,790","14,441","37,847","51,608","215,725"
"","Master's degree","184,013","2,748","4,567","13,685","23,597","139,416"
"","Professional degree beyond a bachelor's degree","49,664","965","928","2,696","6,219","38,856"
"","Doctorate degree","40,281","399","463","1,594","4,503","33,322"
" -> New England Division -> 45-60 -> Female","","1,546,114","101,789","125,664","312,935","305,211","700,515"
"","N/A (less than 3 years old)","0","0","0","0","0","0"
"","No schooling completed","27,318","3,975","4,619","8,515","4,472","5,737"
"","Nursery school, preschool","476","306","0","170","0","0"
"","Kindergarten","231","0","0","133","0","98"
"","Grade 1","868","252","0","182","434","0"
"","Grade 2","204","0","0","0","0","204"
"","Grade 3","533","0","245","222","66","0"
"","Grade 4","1,844","725","261","135","256","467"
"","Grade 5","2,078","531","385","351","654","157"
"","Grade 6","4,807","772","378","1,446","540","1,671"
"","Grade 7","1,664","30","269","872","166","327"
"","Grade 8","6,129","1,266","1,408","1,968","912","575"
"","Grade 9","9,234","2,409","1,155","1,523","2,594","1,553"
"","Grade 10","9,112","2,720","2,385","1,297","1,365","1,345"
"","Grade 11","11,870","2,760","2,071","2,784","2,465","1,790"
"","12th grade - no diploma","23,249","1,976","3,437","7,580","5,759","4,497"
"","Regular high school diploma","278,938","27,702","37,168","74,660","60,810","78,598"
"","GED or alternative credential","54,147","7,247","9,167","14,280","10,572","12,881"
"","Some college, but less than 1 year","82,775","6,474","9,195","22,575","19,849","24,682"
"","1 or more years of college credit, no degree","133,899","11,519","13,384","35,970","28,217","44,809"
"","Associate's degree","150,161","8,515","11,634","35,733","34,737","59,542"
"","Bachelor's degree","386,759","14,414","20,677","60,738","71,787","219,143"
"","Master's degree","262,885","6,214","6,650","32,903","47,587","169,531"
"","Professional degree beyond a bachelor's degree","55,764","955","486","5,828","5,489","43,006"
"","Doctorate degree","41,169","1,027","690","3,070","6,480","29,902"
" -> New England Division -> 61+","","3,826,786","482,524","594,247","1,051,057","690,709","1,008,249"
" -> New England Division -> 61+ -> Male","","1,747,094","168,789","246,853","484,719","334,233","512,500"
"","N/A (less than 3 years old)","0","0","0","0","0","0"
"","No schooling completed","31,228","6,231","6,686","8,219","3,867","6,225"
"","Nursery school, preschool","269","68","91","0","0","110"
"","Kindergarten","39","0","0","0","39","0"
"","Grade 1","491","351","140","0","0","0"
"","Grade 2","2,046","649","895","375","0","127"
"","Grade 3","2,169","107","836","663","92","471"
"","Grade 4","4,563","1,095","1,719","1,185","189","375"
"","Grade 5","5,020","1,682","442","1,716","825","355"
"","Grade 6","6,852","1,914","1,850","1,828","462","798"
"","Grade 7","4,109","1,774","769","596","827","143"
"","Grade 8","17,898","4,062","5,122","4,307","2,497","1,910"
"","Grade 9","18,621","5,465","4,898","4,070","2,299","1,889"
"","Grade 10","19,442","5,589","5,172","5,031","1,880","1,770"
"","Grade 11","19,917","3,902","4,924","6,593","1,897","2,601"
"","12th grade - no diploma","30,554","5,498","4,374","11,289","4,662","4,731"
"","Regular high school diploma","414,496","47,163","76,788","131,958","77,317","81,270"
"","GED or alternative credential","64,276","13,189","12,013","20,723","10,202","8,149"
"","Some college, but less than 1 year","98,398","9,230","17,413","32,308","18,609","20,838"
"","1 or more years of college credit, no degree","170,531","19,007","28,511","48,076","37,288","37,649"
"","Associate's degree","120,873","8,468","17,618","39,818","23,988","30,981"
"","Bachelor's degree","369,010","19,479","34,039","93,480","77,715","144,297"
"","Master's degree","212,858","9,048","15,807","48,284","47,791","91,928"
"","Professional degree beyond a bachelor's degree","74,045","3,062","4,218","14,026","11,947","40,792"
"","Doctorate degree","59,389","1,756","2,528","10,174","9,840","35,091"
" -> New England Division -> 61+ -> Female","","2,079,692","313,735","347,394","566,338","356,476","495,749"
"","N/A (less than 3 years old)","0","0","0","0","0","0"
"","No schooling completed","41,828","12,739","6,434","8,644","6,456","7,555"
"","Nursery school, preschool","826","467","29","185","0","145"
"","Kindergarten","234","0","0","195","39","0"
"","Grade 1","1,391","1,297","0","0","0","94"
"","Grade 2","2,294","1,021","113","284","0","876"
"","Grade 3","6,374","2,682","732","868","1,119","973"
"","Grade 4","6,741","2,095","1,109","1,653","1,035","849"
"","Grade 5","6,799","2,361","1,466","1,031","771","1,170"
"","Grade 6","10,632","3,744","1,630","2,994","1,350","914"
"","Grade 7","7,118","3,623","1,600","659","759","477"
"","Grade 8","15,097","5,104","3,260","2,499","1,084","3,150"
